Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
70,5209407186,bhessler,337,176,G Ryan Gerard G Tom Kim G Davis Thompson G Sungjae Im G Alex Smalley G Denny McCarthy,,Davis Riley,G,0.73%,3.5,,,,,,,,,,,,,,
71,5209675324,SmokingSquash,339,175,G Cameron Young G Hideki Matsuyama G Ben Kohles G Jordan L. Smith G Bud Cauley G Benjamin James,,Sam Stevens,G,0.73%,11.5,,,,,,,,,,,,,,
71,5208021650,House_73,329,175,G Cameron Young G Keegan Bradley G Alex Fitzpatrick G Sungjae Im G Michael Kim G Beau Hossler,,Zachary Bauchou,G,0.73%,6.5,,,,,,,,,,,,,,
71,5209854301,shempdevil,329,175,G Cameron Young G Aaron Rai G Davis Thompson G Mac Meissner G Beau Hossler G Patrick Rodgers,,Mark Hubbard,G,0.70%,5.5,,,,,,,,,,,,,,
71,5208660568,Wafflemouse,324,175,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Davis Thompson G Ben Kohles G Jackson Suber,,Tom Hoge,G,0.67%,36.5,,,,,,,,,,,,,,
75,5208986345,gogolfing1324,350,174.5,G Hideki Matsuyama G Justin Thomas G Brooks Koepka G Benjamin James G Michael Kim G Sahith Theegala,,Seamus Power,G,0.61%,7.5,,,,,,,,,,,,,,
75,5209823824,ccraftman,342,174.5,G Justin Thomas G Tom Kim G Ben Griffin G Doug Ghim G Alex Smalley G Matthew McCarty,,Jason Day,G,0.61%,5,,,,,,,,,,,,,,
75,5208347710,cusetown1978,334,174.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Doug Ghim G Bud Cauley G Zac Blair,,Matt Kuchar,G,0.58%,7,,,,,,,,,,,,,,
78,5208533519,twobirdsoneputt,341,174,G Jackson Koivun G Ben Griffin G Davis Thompson G Doug Ghim G J.T. Poston G Denny McCarthy,,Austin Eckroat,G,0.55%,22.5,,,,,,,,,,,,,,
78,5208311564,tebow20,339,174,G Ryan Gerard G Keegan Bradley G Michael Brennan G Davis Thompson G Bud Cauley G Benjamin James,,Brian Campbell,G,0.52%,15,,,,,,,,,,,,,,
78,5208662340,daldi,335,174,G Tom Kim G Ben Griffin G Aaron Rai G Doug Ghim G Sungjae Im G Bud Cauley,,Chandler Blanchet,G,0.47%,6,,,,,,,,,,,,,,
78,5209780793,grantturi,330,174,G Hideki Matsuyama G Tom Kim G Aaron Rai G Davis Thompson G Matthew McCarty G Davis Chatfield,,Matti Schmid,G,0.44%,41.5,,,,,,,,,,,,,,
82,5209162327,Guzzlerx2,344,173.5,G Hideki Matsuyama G Tom Kim G Davis Thompson G Mac Meissner G Ryo Hisatsune G Sahith Theegala,,Webb Simpson,G,0.44%,15.5,,,,,,,,,,,,,,
82,5208858686,tinderella,341,173.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Doug Ghim G Alex Smalley G Billy Horschel,,A.J. Ewart,G,0.44%,15,,,,,,,,,,,,,,
82,5209256055,Bitcoin4Freedom,341,173.5,G Hideki Matsuyama G Tom Kim G Ben Griffin G Davis Thompson G Denny McCarthy G Chandler Phillips,,Andrew Novak,G,0.41%,9.5,,,,,,,,,,,,,,
82,5209663823,Walshington,335,173.5,G Cameron Young G Ben Griffin G Harris English G Doug Ghim G Marco Penge G Beau Hossler,,Mackenzie Hughes,G,0.41%,16,,,,,,,,,,,,,,
82,5208632020,ajm230,328,173.5,G Cameron Young G Justin Thomas G Doug Ghim G Ben Kohles G Bud Cauley G Ricky Castillo,,Gordon Sargent,G,0.41%,14.5,,,,,,,,,,,,,,
82,5208786060,Zackholton,324,173.5,G Justin Thomas G Tom Kim G Aaron Rai G Ben Kohles G Jordan L. Smith G Bud Cauley,,Patrick Rodgers,G,0.38%,8.5,,,,,,,,,,,,,,
88,5207364293,StateOfLosers,341,173,G Ryan Gerard G Ben Griffin G Davis Thompson G Doug Ghim G Sungjae Im G Ben Kohles,,Austin Smotherman,G,0.38%,25.5,,,,,,,,,,,,,,
88,5208339004,droc323,341,173,G Ryan Gerard G Ben Griffin G Davis Thompson G Doug Ghim G Sungjae Im G Ben Kohles,,Max McGreevy,G,0.35%,15.5,,,,,,,,,,,,,,
88,5209749592,alexjohnmckinnon,341,173,G Ryan Gerard G Ben Griffin G Davis Thompson G Doug Ghim G Sungjae Im G Ben Kohles,,Pierceson Coody,G,0.29%,3.5,,,,,,,,,,,,,,
88,5208950606,Rams6666,340,173,G Cameron Young G Ryan Gerard G Keith Mitchell G Sungjae Im G Sahith Theegala G Denny McCarthy,,David Lipsky,G,0.26%,9.5,,,,,,,,,,,,,,
88,5209028021,Cheers3,334,173,G Maverick McNealy G Keegan Bradley G Davis Thompson G Brian Harman G Doug Ghim G Ben Kohles,,Aaron Wise,G,0.23%,15,,,,,,,,,,,,,,
88,5209555601,MichaelScarn1,331,173,G Justin Thomas G Maverick McNealy G Alex Fitzpatrick G Davis Thompson G Alex Smalley G Matthew McCarty,,Neal Shipley,G,0.20%,8.5,,,,,,,,,,,,,,
88,5208446725,lemu66,330,173,G Hideki Matsuyama G Justin Thomas G Tom Kim G J.T. Poston G Denny McCarthy G Billy Horschel,,Aldrich Potgieter,G,0.20%,15,,,,,,,,,,,,,,
95,5209295158,HowardTown,339,172.5,G Cameron Young G Hideki Matsuyama G Doug Ghim G Jordan L. Smith G Bud Cauley G Michael Kim,,Camilo Villegas,G,0.20%,16.5,,,,,,,,,,,,,,
95,5208130720,lammers30,331,172.5,G Tom Kim G Ben Griffin G Davis Thompson G Mac Meissner G Sungjae Im G Billy Horschel,,Peter Malnati,G,0.17%,8.5,,,,,,,,,,,,,,
95,5207349104,grkdrafter939,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Steven Fisk,G,0.17%,10.5,,,,,,,,,,,,,,
95,5207886239,Geebir,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Zecheng Dou,G,0.17%,14.5,,,,,,,,,,,,,,
95,5207967750,chrissair,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Adam Svensson,G,0.15%,16,,,,,,,,,,,,,,
95,5207976821,RyanTrimble,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Joe Highsmith,G,0.15%,21,,,,,,,,,,,,,,
95,5208050156,jdcros04,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Justin Lower,G,0.12%,16,,,,,,,,,,,,,,
