PLAYER,EARLY/LATE,TEE TIME,BET TYPE,BETMGM,DRAFTKINGS,FANDUEL, BET365,POINTSBET,BETFAIR,BETONLINE,WILLIAMHILL,BETWAY,BOVADA,CIRCA,PINNACLE,SKYBET,UNIBET,RANK AV,AVERAGE,PERCENT LST 20,MODEL,RANK,% ODDS AVERAGE,925 - VEGAS,BET TAG,Best Odds Number,Best Odds Sportsbook,Best Odds,Percent Difference From Average,Bet Difference Per Bet,Bet Difference Week,Best Odds Percent Difference From Average,Difference From Average Odds,Course,925 Odds,Pre Tournament Odds,Edge,,,Headshot
Sam Stevens,Early,2026-08-16 09:00,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,64,64,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55893.png"
Cameron Young,Early,2026-08-16 08:50,OUTRIGHT,0,5000,1000,5000,0,0,0,0,0,5000,0,0,1250,0,150,3450.0,0.1,5,5,0.0003,-145,OUTRIGHT,5000, BET365, BET365 (5000/1),0.69,38,230,-0.0001,0.000199960008,TPC Southwind,0.03,0.06,0.03,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57366.png"
Nicolai Hojgaard,Early,2026-08-16 08:40,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,47,47,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.00,0.00,,,https://www.freeiconspng.com/uploads/--tie-user-users-work-worker-working-icon--icon-search-engine-6.png
Michael Kim,Early,2026-08-16 08:30,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,55,55,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39975.png"
Michael Brennan,Early,2026-08-16 09:10,OUTRIGHT,0,5000,1000,5000,0,0,0,0,0,5000,0,0,1250,0,150,3450.0,0.05,37,37,0.0003,0,,5000, BET365, BET365 (5000/1),0.69,38,230,-0.0001,0.000199960008,TPC Southwind,0.00,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58611.png"
Justin Thomas,Early,2026-08-16 09:20,OUTRIGHT,0,5000,1000,5000,0,0,0,0,0,5000,0,0,1250,0,150,3450.0,,19,19,0.0003,-131,Possible Outright,5000, BET365, BET365 (5000/1),0.69,38,230,-0.0001,0.000199960008,TPC Southwind,0.01,0.01,0.01,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33448.png"
Ben Griffin,Early,2026-08-16 08:05,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,35,35,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54591.png"
Michael Thorbjornsen,Early,2026-08-16 08:15,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,0.05,27,27,0.0003,-95,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57364.png"
Sahith Theegala,Early,2026-08-16 06:55,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,51,51,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51634.png"
Aldrich Potgieter,Early,2026-08-16 07:35,OUTRIGHT,0,0,1000,5000,0,0,0,0,0,5000,0,0,1250,0,122,3062.5,,65,65,0.0003,0,,5000, BET365, BET365 (5000/1),0.6125,8,201,-0.0001,0.000199960008,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63343.png"
