Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course
Paul Casey,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1039.png,1859,43204214,LIV Golf Andalucia,6/4/2026,7000,18.5,0,0.5,0.5,,,,,,
Richard Bland,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,698,43204215,LIV Golf Andalucia,6/4/2026,7000,18.5,0,0.5,0.5,,,,,,
Alex Noren,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1162.png,867,43352250,Travelers Championship,6/25/2026,6900,78.22,0,0,0,8316.6 (0.01),1533.3 (0.06),635.8 (0.14),235.0 (0.30),,
Ryo Hisatsune,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/609130.png,760663,43352251,Travelers Championship,6/25/2026,6900,75.86,0,0,0,10463.2 (0.01),1741.7 (0.05),738.3 (0.12),279.0 (0.26),,
Elvis Smylie,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,721846,43204216,LIV Golf Andalucia,6/4/2026,6900,18.3,0,0.5,0.5,,,,,,
Peter Uihlein,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/650.png,218,43204217,LIV Golf Andalucia,6/4/2026,6900,18.3,0,0.5,0.5,,,,,,
Travis Smyth,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,670421,43210313,LIV Golf Andalucia,6/4/2026,6900,18.3,0,0.5,0.5,,,,,,
Alex Smalley,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/451986.png,509666,43352252,Travelers Championship,6/25/2026,6800,76.22,0,0,0,9281.8 (0.01),1675.0 (0.06),710.0 (0.12),270.0 (0.27),,
Eric Cole,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/525717.png,704063,43352253,Travelers Championship,6/25/2026,6800,74.02,0,0,0,9240.0 (0.01),1633.3 (0.06),715.8 (0.12),274.0 (0.27),,
Sepp Straka,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/654.png,73285,43352254,Travelers Championship,6/25/2026,6800,73.61,0,0,0,9192.9 (0.01),1600.0 (0.06),692.5 (0.13),248.0 (0.29),,
Charl Schwartzel,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/938.png,193,43204218,LIV Golf Andalucia,6/4/2026,6800,18.1,0,0.5,0.5,,,,,,
Jason Kokrak,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/589.png,1080,43204219,LIV Golf Andalucia,6/4/2026,6800,18.1,0,0.5,0.5,,,,,,
Corey Conners,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1038.png,1860,43352255,Travelers Championship,6/25/2026,6700,72.27,0,0,0,9551.1 (0.01),1675.0 (0.06),728.3 (0.12),269.0 (0.27),,
Rickie Fowler,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/991.png,1237,43352256,Travelers Championship,6/25/2026,6700,76.29,0,0,0,9908.8 (0.01),1716.7 (0.06),720.0 (0.12),276.0 (0.27),,
Harry Hall,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/62315.png,699070,43352257,Travelers Championship,6/25/2026,6700,70.75,0,0,0,12348.2 (0.01),2175.0 (0.04),884.2 (0.10),333.0 (0.23),,
Anirban Lahiri,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/585.png,846,43204220,LIV Golf Andalucia,6/4/2026,6700,17.9,0,0.5,0.5,,,,,,
Lee Westwood,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/867.png,638,43204221,LIV Golf Andalucia,6/4/2026,6700,17.9,0,0.5,0.5,,,,,,
Ryan Fox,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1070.png,1048,43352258,Travelers Championship,6/25/2026,6600,73.24,0,0,0,9924.5 (0.01),1808.3 (0.05),740.8 (0.12),285.0 (0.26),,
Michael Kim,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/597.png,1932,43352259,Travelers Championship,6/25/2026,6600,73.62,0,0,0,12040.2 (0.01),2075.0 (0.05),881.7 (0.10),328.0 (0.23),,
Nick Taylor,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/515.png,700,43352260,Travelers Championship,6/25/2026,6600,72.89,0,0,0,12927.4 (0.01),2141.7 (0.04),923.3 (0.10),323.0 (0.24),,
Ben Campbell,Classic: LIV,https://dkn.gs/sports/images/countries/50/new_zealand.png,286512,43204222,LIV Golf Andalucia,6/4/2026,6600,17.7,0,0.5,0.5,,,,,,
Bubba Watson,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/637.png,411,43204223,LIV Golf Andalucia,6/4/2026,6600,17.7,0,0.5,0.5,,,,,,
Jason Day,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1122.png,815,43352261,Travelers Championship,6/25/2026,6500,72.78,0,0,0,13732.2 (0.01),2175.0 (0.04),962.5 (0.09),339.0 (0.23),,
Sungjae Im,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/621.png,670620,43352262,Travelers Championship,6/25/2026,6500,72.31,0,0,0,12887.7 (0.01),2108.3 (0.05),924.2 (0.10),322.0 (0.24),,
Tony Finau,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/808.png,2125,43352263,Travelers Championship,6/25/2026,6500,69.33,0,0,0,15236.2 (0.01),2550.0 (0.04),1100.0 (0.08),390.0 (0.20),,
Graeme McDowell,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1184.png,1314,43204224,LIV Golf Andalucia,6/4/2026,6500,17.5,0,0.5,0.5,,,,,,
Luis Masaveu,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,768539,43204225,LIV Golf Andalucia,6/4/2026,6500,17.5,0,0.5,0.5,,,,,,
Taylor Pendrith,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/716.png,1802,43352264,Travelers Championship,6/25/2026,6400,70.31,0,0,0,14427.4 (0.01),2416.7 (0.04),1012.5 (0.09),378.0 (0.21),,
Mac Meissner,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/557402.png,708878,43352265,Travelers Championship,6/25/2026,6400,73.06,0,0,0,17311.3 (0.01),2600.0 (0.04),1116.7 (0.08),401.0 (0.20),,
Benjamin James,Classic: Travelers Championship,https://dkn.gs/sports/images/countries/50/united_states.png,765775,43352266,Travelers Championship,6/25/2026,6400,61.13,0,0,0,,,,,,
Adrian Meronk,Classic: LIV,https://dkn.gs/sports/images/countries/50/poland.png,292342,43204226,LIV Golf Andalucia,6/4/2026,6400,17.3,0,0.5,0.5,,,,,,
Ian Poulter,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/974.png,308,43204227,LIV Golf Andalucia,6/4/2026,6400,17.3,0,0.5,0.5,,,,,,
Andrew Novak,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/658.png,670403,43352267,Travelers Championship,6/25/2026,6300,70.54,0,0,0,14424.6 (0.01),2100.0 (0.05),901.7 (0.10),336.0 (0.23),,
Daniel Berger,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1178.png,1870,43352268,Travelers Championship,6/25/2026,6300,70.92,0,0,0,15120.6 (0.01),2375.0 (0.04),993.3 (0.09),368.0 (0.21),,
Jackson Suber,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/632390.png,763051,43352269,Travelers Championship,6/25/2026,6300,66.95,0,0,0,18656.0 (0.01),3250.0 (0.03),1291.7 (0.07),457.0 (0.18),,
Martin Kaymer,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/817.png,1323,43204228,LIV Golf Andalucia,6/4/2026,6300,17.1,0,0.5,0.5,,,,,,
Yosuke Asaji,Classic: LIV,https://dkn.gs/sports/images/countries/50/japan.png,697206,43204229,LIV Golf Andalucia,6/4/2026,6300,17.1,0,0.5,0.5,,,,,,
