Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2253,5195219572,ballbaggers,324,141.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Suber G Ricky Castillo G Michael Kim G Lucas Glover,,,,,
2253,5195230870,chipperdini17,324,141.5,G Jake Knapp G Max Homa G Sam Stevens G Benjamin James G Michael Brennan G Davis Thompson,,,,,
2253,5195233861,bereamike40,324,141.5,G Kurt Kitayama G Jake Knapp G Tom Kim G Tony Finau G Lucas Glover G Peter Malnati,,,,,
2253,5195244180,highoctane87,324,141.5,G Scottie Scheffler G Mac Meissner G Lee Hodges G Zac Blair G David Lipsky G Davis Chatfield,,,,,
2253,5195260114,gmfamoso,324,141.5,G Pierceson Coody G Jackson Suber G Max Homa G Sungjae Im G Rasmus Neergaard-Petersen G Jesper Svensson,,,,,
2253,5195407728,jbonzoso,324,141.5,G Scottie Scheffler G Tony Finau G Seamus Power G Zac Blair G Takumi Kanaya G Troy Merritt,,,,,
2253,5195542576,doggonerv,324,141.5,G Kurt Kitayama G Jackson Koivun G Jackson Suber G Mac Meissner G Ricky Castillo G Fabián Gómez,,,,,
2253,5195735455,bryson1221,324,141.5,G Maverick McNealy G Kurt Kitayama G Tom Kim G Keita Nakajima G Lucas Glover G Brandt Snedeker,,,,,
2253,5195983420,ydoja2,324,141.5,G Jackson Koivun G Doug Ghim G Sam Stevens G Mac Meissner G Christiaan Bezuidenhout G Brian Harman,,,,,
2253,5196055293,70curz,324,141.5,G Scottie Scheffler G Sudarshan Yellamaraju G Seamus Power G Austin Eckroat G Joel Dahmen G Adam Hadwin,,,,,
2253,5196112226,jschulkin,324,141.5,G Tom Kim G Jackson Koivun G Sungjae Im G Max Greyserman G Ricky Castillo G Lee Hodges,,,,,
2253,5196138959,jjaymorris1,324,141.5,G Scottie Scheffler G Taylor Moore G Michael Kim G Billy Horschel G Tom Hoge G Aaron Wise,,,,,
2253,5196160907,Dzorn81345,324,141.5,G Tom Kim G Jackson Suber G Gary Woodland G Corey Conners G Stephan Jaeger G Austin Eckroat,,,,,
2253,5196258626,dswarm125,324,141.5,G Pierceson Coody G Doug Ghim G Jackson Suber G Sudarshan Yellamaraju G Johnny Keefer G Emiliano Grillo,,,,,
2253,5196271082,cquig20,324,141.5,G Kurt Kitayama G Hideki Matsuyama G Corey Conners G Max Greyserman G Emiliano Grillo G Erik Van Rooyen,,,,,
2253,5196448370,bmomo,324,141.5,G Jake Knapp G Pierceson Coody G Sam Stevens G Mac Meissner G William Mouw G Emiliano Grillo,,,,,
2253,5196520722,robvaughan,324,141.5,G Scottie Scheffler G Ricky Castillo G Patrick Rodgers G Andrew Putnam G Chris Kirk G Kevin Roy,,,,,
2253,5196559343,CuredMeat,324,141.5,G Scottie Scheffler G Sudarshan Yellamaraju G Preston Stout G Karl Vilips G Chandler Phillips G Stefano Mazzoli,,,,,
2253,5196652350,woodrovitch,324,141.5,G Kurt Kitayama G Jackson Suber G Max Homa G Benjamin James G Casey Jarvis G Emiliano Grillo,,,,,
2253,5196685224,mikewissmann,324,141.5,G Maverick McNealy G Tom Kim G Sam Stevens G Christiaan Bezuidenhout G A.J. Ewart G Kevin Roy,,,,,
2253,5196696359,dav1120,324,141.5,G Tom Kim G Jackson Koivun G Corey Conners G Sam Stevens G Benjamin James G Ben Silverman,,,,,
2253,5196700651,wvwild,324,141.5,G Hideki Matsuyama G Keith Mitchell G Max Homa G Lee Hodges G Jesper Svensson G Zac Blair,,,,,
2253,5196712257,lecomte21,324,141.5,G Scottie Scheffler G Max McGreevy G Zachary Bauchou G Austin Smotherman G Zac Blair G Tom Hoge,,,,,
2253,5196717067,dirtydeeds30,324,141.5,G Kurt Kitayama G Tom Kim G Jackson Suber G William Mouw G Casey Jarvis G Lucas Glover,,,,,
2253,5196804037,brooksj80,324,141.5,G Jackson Koivun G Jackson Suber G Corey Conners G Mac Meissner G Benjamin James G Matti Schmid,,,,,
2253,5196806731,aothomas42,324,141.5,G Hideki Matsuyama G Tom Kim G Max Homa G Christiaan Bezuidenhout G Emiliano Grillo G Cameron Champ,,,,,
