Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
116,5196528056,hall-d (60/60),324,237.5,G Hideki Matsuyama G Jackson Koivun G Jackson Suber G Emiliano Grillo G Ben Kohles G Rico Hoey,,Hank Lebioda,G,0.29%,16.5
116,5196656712,menofleisure (137/150),324,237.5,G Jake Knapp G Gary Woodland G Christiaan Bezuidenhout G Emiliano Grillo G Ben Kohles G Lee Hodges,,Camilo Villegas,G,0.29%,19.5
120,5195535117,72TheCitadelBulldogs (18/111),324,237,G Jackson Koivun G Gary Woodland G Max Homa G Jordan L. Smith G Michael Brennan G Ben Kohles,,Jimmy Stanger,G,0.28%,21
120,5195954539,tdenbeste (42/98),324,237,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Michael Brennan G Ben Kohles G Chandler Phillips,,Pontus Nyholm,G,0.25%,22.5
120,5196014875,piezo (138/150),324,237,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Preston Stout G Lucas Glover G Tyler Duncan,,Jason Day,G,0.22%,0
120,5196196263,TERRYBECK (84/150),324,237,G Scottie Scheffler G Ben Kohles G Lucas Glover G Matti Schmid G Zac Blair G Chandler Phillips,,Peter Malnati,G,0.22%,14.5
120,5196442713,thespear007 (2/9),324,237,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Kevin Roy G Ben Silverman,,Brian Campbell,G,0.21%,22
120,5196615167,TERRYBECK (148/150),324,237,G Scottie Scheffler G Ben Kohles G Lucas Glover G Matti Schmid G Zac Blair G Chandler Phillips,,John VanDerLaan,G,0.21%,35
120,5196729536,DoloMitex478 (11/50),324,237,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Max Greyserman G Ben Kohles G Lee Hodges,,Kensei Hirata,G,0.18%,4
127,5194588649,mkirwin12 (68/150),324,236.5,G Maverick McNealy G Jackson Koivun G Sungjae Im G Emiliano Grillo G Ben Kohles G Jesper Svensson,,Justin Lower,G,0.18%,20
127,5195193628,Patsfan688 (15/20),324,236.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zachary Bauchou G Kevin Roy G Aaron Wise,,Patton Kizzire,G,0.18%,12
127,5195218044,Dan06712 (5/80),324,236.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Max McGreevy G Kevin Roy G Joel Dahmen,,Alejandro Tosti,G,0.17%,8.5
127,5195316626,esposij3 (117/150),324,236.5,G Tom Kim G Jackson Koivun G Jackson Suber G Emiliano Grillo G Ben Kohles G Zac Blair,,Jeffrey Kang,G,0.16%,32
127,5195391551,B32044 (65/150),324,236.5,G Scottie Scheffler G Rasmus Neergaard-Petersen G Emiliano Grillo G Ben Kohles G Joel Dahmen G Davis Chatfield,,Adam Schenk,G,0.14%,14.5
127,5195827457,WiLDM4Ch1NE (39/50),324,236.5,G Jake Knapp G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Hao-Tong Li,,Muzzy Donohue,G,0.13%,12.5
127,5196014782,piezo (45/150),324,236.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Joel Dahmen G Tyler Duncan,,Rafael Campos,G,0.12%,9.5
127,5196201463,scottd923 (3/5),324,236.5,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Christiaan Bezuidenhout G Ben Kohles G Zac Blair,,Danny Walker,G,0.12%,15
127,5196261158,pjl711 (26/30),324,236.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Max McGreevy G Kevin Roy G Joel Dahmen,,Ben Martin,G,0.11%,16.5
127,5196346378,oldschool24 (32/50),324,236.5,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Christiaan Bezuidenhout G Ben Kohles G Zac Blair,,Marcelo Rozo,G,0.10%,28
127,5196403888,UltimateWin4 (27/150),324,236.5,G Hideki Matsuyama G Jackson Koivun G Jordan L. Smith G Michael Brennan G Ben Kohles G Lucas Glover,,Christo Lamprecht,G,0.08%,13
