HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Collin Morikawa,10592,4,13,4,4,Par,E,68,-2
Collin Morikawa,10592,4,14,4,4,Par,E,68,-2
Collin Morikawa,10592,4,15,3,3,Par,E,68,-2
Collin Morikawa,10592,4,16,4,4,Par,E,68,-2
Collin Morikawa,10592,4,17,4,4,Par,E,68,-2
Collin Morikawa,10592,4,18,5,5,Par,E,68,-2
Wyndham Clark,11119,1,1,4,4,Par,E,67,-3
Wyndham Clark,11119,1,2,3,4,Bogey,+1,67,-3
Wyndham Clark,11119,1,3,4,4,Par,E,67,-3
Wyndham Clark,11119,1,4,4,4,Par,E,67,-3
Wyndham Clark,11119,1,5,4,4,Par,E,67,-3
Wyndham Clark,11119,1,6,5,4,Birdie,-1,67,-3
Wyndham Clark,11119,1,7,4,4,Par,E,67,-3
Wyndham Clark,11119,1,8,4,4,Par,E,67,-3
Wyndham Clark,11119,1,9,3,3,Par,E,67,-3
Wyndham Clark,11119,1,10,4,4,Par,E,67,-3
Wyndham Clark,11119,1,11,3,3,Par,E,67,-3
Wyndham Clark,11119,1,12,4,3,Birdie,-1,67,-3
Wyndham Clark,11119,1,13,4,4,Par,E,67,-3
Wyndham Clark,11119,1,14,4,4,Par,E,67,-3
Wyndham Clark,11119,1,15,3,3,Par,E,67,-3
Wyndham Clark,11119,1,16,4,3,Birdie,-1,67,-3
Wyndham Clark,11119,1,17,4,4,Par,E,67,-3
Wyndham Clark,11119,1,18,5,4,Birdie,-1,67,-3
Wyndham Clark,11119,2,1,4,3,Birdie,-1,69,-1
Wyndham Clark,11119,2,2,3,3,Par,E,69,-1
Wyndham Clark,11119,2,3,4,5,Bogey,+1,69,-1
Wyndham Clark,11119,2,4,4,4,Par,E,69,-1
Wyndham Clark,11119,2,5,4,3,Birdie,-1,69,-1
Wyndham Clark,11119,2,6,5,4,Birdie,-1,69,-1
Wyndham Clark,11119,2,7,4,4,Par,E,69,-1
Wyndham Clark,11119,2,8,4,4,Par,E,69,-1
Wyndham Clark,11119,2,9,3,3,Par,E,69,-1
Wyndham Clark,11119,2,10,4,4,Par,E,69,-1
Wyndham Clark,11119,2,11,3,3,Par,E,69,-1
Wyndham Clark,11119,2,12,4,5,Bogey,+1,69,-1
Wyndham Clark,11119,2,13,4,4,Par,E,69,-1
Wyndham Clark,11119,2,14,4,3,Birdie,-1,69,-1
Wyndham Clark,11119,2,15,3,3,Par,E,69,-1
Wyndham Clark,11119,2,16,4,5,Bogey,+1,69,-1
Wyndham Clark,11119,2,17,4,4,Par,E,69,-1
Wyndham Clark,11119,2,18,5,5,Par,E,69,-1
